14D.AX	1414 Degrees Limited
NHFKOA.AX	Nib Holdings Limited
NHFKOC.AX	Nib Holdings Limited
NHFKOF.AX	NHFKOF
NHFKOP.AX	Nib Holdings Limited
NHFKOQ.AX	Nib Holdings Limited
NI2KOD.AX	NI2KOD
NI2KOF.AX	NI2KOF
NI2KOQ.AX	NI2KOQ
NI2KOS.AX	NI2KOS
NI2KOT.AX	NI2KOT
NI2KOZ.AX	NI2KOZ
NI2MOP.AX	NI2MOP
NIC.AX	Nickel Mines Limited
NICKOA.AX	NICKOA
NICKOC.AX	NICKOC
NICKOE.AX	NICKOE
NIM.AX	Nimy Resources Limited
NIS.AX	Nickelsearch Limited
NME.AX	Nex Metals Exploration Ltd
NML.AX	Navarre Minerals Limited
NMR.AX	Nimrodel Resources Ltd
NMT.AX	Neometals Ltd
NNG.AX	Northern Gold NL
NNGO.AX	NNGO
NNL.AX	Nordic Nickel Limited
NNUK.AX	NNUK
NNWH.AX	NNWH
NOL.AX	National 1
NOR.AX	Norwood Systems Limited
NOROD.AX	NOROD
NOU.AX	Noumi Limited
NOUO.AX	NOUO
NOV.AX	Novatti Group Limited
NOVO.AX	NOVO
NOX.AX	Noxopharm Limited
NPM.AX	Newpeak Metals Limited
NRX.AX	Noronex Limited
NRXO.AX	NRXO
NRZ.AX	Neurizer Ltd
NRZO.AX	NRZO
NRZOA.AX	NRZOA
NSB.AX	Neuroscientific Biopharmaceuticals Ltd
NSC.AX	Naos Small Cap Opportunities Company Limited
NSM.AX	North Stawell Minerals Ltd
NSR.AX	National Storage Reit
NSRKOA.AX	National Storage Reit
NSRKOB.AX	National Storage Reit
NST.AX	Northern Star Resources Ltd
NSTKOA.AX	Northern Star Resources Ltd
NSTKOB.AX	Northern Star Resources Ltd
NSTKOC.AX	Northern Star Resources Ltd
NSTKOD.AX	Northern Star Resources Ltd
NSTKOE.AX	Northern Star Resources Ltd
NSTKOF.AX	NSTKOF
NSTKOP.AX	Northern Star Resources Ltd
NSTKOV.AX	NSTKOV
NSX.AX	X Ltd
NTD.AX	National Tyre & Wheel Limited
NTI.AX	Neurotech International Limited
NTIOA.AX	NTIOA
NTL.AX	New Talisman Gold Mines Limited
NTM.AX	Northern Manganese Limited
NTU.AX	Northen Uranium Ltd
NUC.AX	Nuchev Limited
NUF.AX	NuFarm Ltd
NUFKOA.AX	Nufarm Limited
NUFKOD.AX	Nufarm Limited
NUFKOP.AX	Nufarm Limited
NUFKOQ.AX	Nufarm Limited
NUFKOR.AX	Nufarm Limited
NUGG.AX	NUGG
NUH.AX	Nuheara Limited
NUZ.AX	Neurizon Therapeutics Limited
NUZOA.AX	NUZOA
NVA.AX	Nova Minerals Limited
NVO.AX	Nvoi Ltd
NVQ.AX	Noviqtech Limited
NVU.AX	Nanoveu Limited
NVX.AX	Novonix Limited
NWC.AX	New World Cobalt Limited
NWF.AX	Newfield Resources Limited
NWH.AX	NRW Holdings Ltd
NWHKOA.AX	Nrw Holdings Limited
NWHKOB.AX	Nrw Holdings Limited
NWHKOC.AX	Nrw Holdings Limited
NWL.AX	New Tel
NWLKOA.AX	NWLKOA
NWLKOP.AX	Netwealth Group Limited
NWLKOQ.AX	NWLKOQ
NWLKOR.AX	NWLKOR
NWM.AX	Norwest Minerals Limited
NWMO.AX	NWMO
NWS.AX	News Corporation
NWSLV.AX	NEWS CORP-PREFD
NXD.AX	Nexted Group Limited
NXG.AX	Nexgen Energy (canada) Ltd
NXL.AX	Nuix Limited
NXM.AX	Nexus Minerals Limited
NXMO.AX	NXMO
NXS.AX	Nexus Energy Ltd
NXT.AX	Nextdc Limited
NXTKOA.AX	Nextdc Limited
NXTKOB.AX	Nextdc Limited
NXTKOE.AX	Nextdc Limited
NXTKOQ.AX	NXTKOQ
NXTKOR.AX	Nextdc Limited
NYM.AX	Narryer Metals Limited
NYR.AX	Nyrada Inc.
NZK.AX	New Zealand King Salmon Investments Limited
NZM.AX	Nzme Limited
NZS.AX	New Zealand Coastal Seafoods Limited
NZSOB.AX	New Zealand Coastal Seafoods Limited
OAK.AX	Oaks Hotels & Resorts Ltd
OAR.AX	Oakdale Resources Limited
OAROD.AX	OAROD
OAU.AX	Ora Gold Limited
OBL.AX	Oil Basins Ltd
OBM.AX	Ora Banda Mining Ltd
OCA.AX	Oil Company Of Australia
OCC.AX	Orthocell Limited
OCL.AX	Objective Corporation Ltd
OCN.AX	Oceana Lithium Limited
OCT.AX	Octava Minerals Limited
OD6.AX	Od6 Metals Limited
ODA.AX	Orcoda Limited
ODE.AX	Odessa Minerals Limited
ODEO.AX	ODEO
ODY.AX	Odyssey Energy Ltd
OEC.AX	Orbital Corporation Ltd
OECO.AX	OECO
OEL.AX	Ottoman Energy Ltd
OEQ.AX	Orion Equities Ltd
OFX.AX	Ozforex Group Limited
OFXKOQ.AX	Ozforex Group Limited
OFXKOR.AX	Ozforex Group Limited
OIL.AX	Optiscan Imaging Ltd
OJC.AX	The Original Juice Co. Ltd
OKJ.AX	Oakajee Corporation Ltd
OLH.AX	Oldfields Holdings Ltd
OLI.AX	Olivers Real Food Limited
OLL.AX	Openlearning Limited
OLY.AX	Olympia Resources Ltd
OM1.AX	Omnia Metals Group Ltd
OM1O.AX	OM1O
OMA.AX	Omega Oil & Gas Limited
OMH.AX	OM Holdings Ltd
OML.AX	Ooh!media Limited
OMLKOA.AX	Ooh!media Limited
OMX.AX	Ormil Energy Limited
ONE.AX	Oneview Healthcare Plc
OOO.AX	Betashares Crude Oil Index Etf - Currency Hedged (
OPH.AX	Ophir High Conviction Fund
OPL.AX	Orchard Petroleum Ltd
OPN.AX	Opendna Limited
OPNOA.AX	OPNOA
OPT.AX	Opthea Limited
OPTOA.AX	OPTOA
OPTOB.AX	OPTOB
ORA.AX	Orora Limited
ORAKOA.AX	Orora Limited
ORAKOB.AX	Orora Limited
ORAKOP.AX	Orora Limited
ORAKOQ.AX	Orora Limited
ORD.AX	Ord River Resources Ltd
ORG.AX	Origin Energy Ltd
ORGKOA.AX	Origin Energy Limited
ORGKOB.AX	Origin Energy Limited
ORGKOC.AX	Origin Energy Limited
ORGKOD.AX	Origin Energy Limited
ORGKOE.AX	Origin Energy Limited
ORGKOP.AX	Origin Energy Limited
ORGKOQ.AX	Origin Energy Limited
ORGKOS.AX	Origin Energy Limited
ORI.AX	Orica Ltd
ORIKOB.AX	Orica Limited
ORIKOC.AX	Orica Limited
ORIKOD.AX	Orica Limited
ORIKOP.AX	Orica Limited
ORIKOR.AX	Orica Limited
ORIKOT.AX	Orica Limited
ORN.AX	ORN
ORP.AX	Oropa Ltd
OSL.AX	Oncosil Medical Ltd
OSLO.AX	OSLO
OSLOB.AX	OSLOB
OSM.AX	Osmond Resources Limited
OSX.AX	Osteopore Limited
OSXO.AX	OSXO
OVT.AX	Ovato Limited
OXT.AX	Orexplore Technologies Limited
OZF.AX	Spdr??s&p?/asx 200 Financials Ex A-reit Fund
OZM.AX	Ozaurum Resources Limited
OZR.AX	Spdr??s&p?/asx 200 Resources Fund
OZZ.AX	Ozz Resources Limited
OZZO.AX	OZZO
PAA.AX	PharmAust Ltd
PAAOA.AX	PAAOA
PAB.AX	Patrys Ltd
PAC.AX	Pacsoft Ltd
PAI.AX	Platinum Asia Investments Limited
PAM.AX	Pan Asia Metals Limited
PAR.AX	Paradigm Biopharmaceuticals Limited..
PARO.AX	PARO
PAT.AX	Patriot Lithium Limited
PBH.AX	Pointsbet Holdings Limited
PBL.AX	Publishing & Broadcasting Ltd
PCG.AX	PCH Group Ltd
PCI.AX	Perpetual Credit Income Trust
PCK.AX	Painchek Ltd
PCL.AX	Pancontinental Oil & Gas NL
PCLO.AX	Pancontinental Energy Nl
PCX.AX	Pengana Global Private Credit Trust
PDI.AX	Predictive Discovery Limited
PDN.AX	Paladin Resources Ltd
PDNKOB.AX	Paladin Energy Ltd
PDNKOC.AX	Paladin Energy Ltd
PDNKOE.AX	Paladin Energy Ltd
PDNKOP.AX	Paladin Energy Ltd
PDNKOR.AX	Paladin Energy Ltd
PE1.AX	Pengana Private Equity Trust
PEB.AX	Pacific Edge Limited
PEC.AX	Perpetual Resources Limited
PEK.AX	Peak Resources Ltd
PEN.AX	Peninsula Minerals Ltd
PER.AX	Percheron Therapeutics Limited
PET.AX	Peters MacGregor Investments Ltd
PEX.AX	Peel Exploration Ltd
PFE.AX	Pantera Minerals Limited
PFEO.AX	PFEO
PFEOA.AX	Pantera Minerals Limited
PFG.AX	Prime Financial Group Ltd
PFP.AX	WC Penfold
PFT.AX	Pure Foods Tasmania Limited
PGC.AX	Paragon Care Ltd
PGD.AX	Peregrine Gold Ltd
PGDOA.AX	PGDOA
PGF.AX	Pm Capital Global Opportunities Fund Limited
PGH.AX	Pact Group Holdings Ltd
PGM.AX	Platina Resources Ltd
PGO.AX	Primary Gold Limited
PGOOB.AX	PGOOB
PGY.AX	Pilot Energy Limited
PGYO.AX	Pilot Energy Limited
PH2.AX	Pure Hydrogen Corporation Limited
PHL.AX	Pearl Healthcare Ltd
PHO.AX	Phoneware
PHX.AX	Pharmx Technologies Limited
PIA.AX	Prudential Investment Company Of Australia
PIC.AX	Perpetual Equity Investment Company Limited
PIL.AX	Pilbara Mines NL.
PIM.AX	Prime Minerals Ltd
PIMO.AX	Prime Minerals Ltd
PIQ.AX	Proteomics International Laboratories Ltd
PKD.AX	Parkd Ltd
PKO.AX	Peak Oil & Gas Limited
PKOO.AX	PKOO
PL3.AX	Patagonia Lithium Ltd
PL3O.AX	PL3O
PL8.AX	Plato Income Maximiser Limited.
PLC.AX	Plc Financial Solutions Limited
PLG.AX	Propertylink Group
PLL.AX	Poltech International
PLN.AX	Planar Semiconductor Inc
PLS.AX	Pilbara Minerals Limited
PLSKOA.AX	PLSKOA
PLSKOC.AX	PLSKOC
PLSKOD.AX	PLSKOD
PLSKOP.AX	PLSKOP
PLSKOQ.AX	PLSKOQ
PLSKOS.AX	PLSKOS
PLSKOU.AX	PLSKOU
PLT.AX	Polartechnics Ltd
PLY.AX	Polymetals Mining Limited
PMC.AX	Platinum Capital Ltd
PME.AX	Pro Medicus Ltd
PMEKOA.AX	Pro Medicus Limited
PMEKOB.AX	Pro Medicus Limited
PMEKOC.AX	Pro Medicus Limited
PMEKOD.AX	Pro Medicus Limited
PMEKOE.AX	Pro Medicus Limited
PMEKOF.AX	PMEKOF
PMGOLD.AX	Perth Mint Gold
PMT.AX	Patriot Battery Metals Inc.
PMV.AX	Premier Investments Ltd
PMVKOA.AX	Premier Investments Limited
PMVKOB.AX	Premier Investments Limited
PMVKOC.AX	Premier Investments Limited
PMVKOQ.AX	Premier Investments Limited
PMVKOR.AX	Premier Investments Limited
PMVKOS.AX	Premier Investments Limited
PNC.AX	Pioneer Credit Limited
PNCO.AX	Pioneer Credit Limited
PNI.AX	Pinnacle Investment Management Group Ltd
PNM.AX	Pacific Nickel Mines Limited
PNN.AX	PeppinNini Minerals Ltd
PNNO.AX	Pepinnini Minerals Limited
PNR.AX	Pacific Niugini Minerals Ltd
PNT.AX	Panther Metals Ltd
PNTO.AX	PNTO
PNTOA.AX	PNTOA
PNV.AX	Polynovo Limited
PNVKOA.AX	PNVKOA
PNVKOB.AX	Polynovo Limited
PNVKOC.AX	PNVKOC
PO3.AX	Purifloh Limited
POD.AX	Podium Minerals Limited
PODOA.AX	PODOA
POL.AX	Polaris Metals NL
POS.AX	Poseidon Nickel Ltd
POW.AX	Protean Wave Energy Ltd
PPC.AX	Peet & Company Ltd
PPE.AX	People Infrastructure Ltd
PPG.AX	Pro-Pac Packaging Ltd
PPK.AX	Plaspak Group Ltd
PPL.AX	Park Plaza Kemayan
PPM.AX	Primero Mining Corp.
PPS.AX	Praemium Ltd
PPT.AX	Perpetual Trustees Australia Ltd
PPTKOD.AX	Perpetual Limited
PPTKOE.AX	Perpetual Limited
PPTKOU.AX	PPTKOU
PPY.AX	Papyrus Australia Ltd
PR1.AX	Pure Resources Limited
PR1OA.AX	Pure Resources Limited
PR2.AX	Piche Resources Limited
PR2O.AX	PR2O
PRG.AX	Programmed Maintenance Services Ltd
PRL.AX	Petrel Energy Limited
PRM.AX	Plenty River Mining Corporation Ltd
PRN.AX	Pelsart Resources Nl
PRO.AX	Prophecy International Holdings Ltd
PRS.AX	Prospech Limited.
PRSOA.AX	PRSOA
PRU.AX	Perseus Mining Ltd
PRUKOA.AX	Perseus Mining Limited
PRUKOB.AX	Perseus Mining Limited
PRUKOC.AX	Perseus Mining Limited
PRUKOE.AX	Perseus Mining Limited
PRX.AX	Prime Retail Group unit/ord
PSC.AX	Prospect Resources Limited
PSI.AX	Pacific Strategic Investments Ltd
PSL.AX	Panaseer
PSQ.AX	Pacific Smiles Group Limited
PTL.AX	Pental Limited
PTM.AX	Platinum Asset Management Ltd
PTMKOP.AX	Platinum Asset Management Limited
PTMKOS.AX	Platinum Asset Management Limited
PTN.AX	Prime Retirement & Aged Care Property Trust
PTR.AX	Petratherm Ltd
PTX.AX	Prescient Therapeutics Limited
PUA.AX	Pure Alumina Limited
PUR.AX	Purus Energy Ltd
PV1.AX	Provaris Energy Ltd
PVE.AX	Po Valley Energy Ltd
PVL.AX	Powerhouse Ventures Limited
PVT.AX	Provet Holdings Limited
PVW.AX	Pvw Resources Limited
PWH.AX	Pwr Holdings Limited
PWN.AX	Potash West Nl
PWR.AX	Powerlan Ltd
PXA.AX	Pexa Group Limited
PXAKOA.AX	PXAKOA
PXAKOB.AX	PXAKOB
PXX.AX	Polarx Limited
PYC.AX	Phylogica Ltd
QAL.AX	Qualitas Limited
QAN.AX	Qantas Airways Ltd
QANKOA.AX	Qantas Airways Limited
QANKOB.AX	Qantas Airways Limited
QANKOE.AX	Qantas Airways Limited
QANKOF.AX	Qantas Airways Limited
QANKOQ.AX	Qantas Airways Limited
QAU.AX	Betashares Gold Bullion Etf - Currency Hedged
QBE.AX	QBE Insurance Group Ltd
QBEKOA.AX	Qbe Insurance Group Limited
QBEKOB.AX	Qbe Insurance Group Limited
QBEKOC.AX	Qbe Insurance Group Limited
QBEKOD.AX	Qbe Insurance Group Limited
QBEKOF.AX	Qbe Insurance Group Limited
QBEKOP.AX	Qbe Insurance Group Limited
QBEKOR.AX	Qbe Insurance Group Limited
QBEKOS.AX	Qbe Insurance Group Limited
QBEKOT.AX	Qbe Insurance Group Limited
QEM.AX	Qem Limited
QEMR.AX	QEMR
QFE.AX	Quickfee Limited
QFN.AX	Betashares S&p/asx 200 Financials Sector
QGL.AX	Quantum Graphite Limited
QHAL.AX	Vaneck Vectors Msci World Ex-australia Quality Hed
QHL.AX	Quickstep Holdings Ltd
QHSM.AX	QHSM
QML.AX	QMastor Ltd
QNDQ.AX	QNDQ
QOR.AX	Qoria Limited
QOZ.AX	Betashares Ftse Rafi Australia 200
QPM.AX	Queensland Pacific Metals Limited
QPON.AX	Betashares Australian Bank Senior Floating Rate Bo
QRE.AX	Betashares S&p/asx 200 Resources Sector
QRI.AX	Qualitas Real Estate Income Fund
QSML.AX	QSML
QUAL.AX	Vaneck Vectors Msci World Ex-australia Quality
QUB.AX	Qube Logistics
QUBKOA.AX	Qube Holdings Limited
QUBKOC.AX	Qube Holdings Limited
QUE.AX	Queste Communications Ltd
QUS.AX	Betashares Ftse Rafi U.s. 1000?
QXR.AX	Qx Resources Limited
R8R.AX	Regener8 Resources Nl
RAC.AX	Reinsurance Australia Corporation
RAD.AX	Radar Iron Limited
RADO.AX	Radar Iron Limited
RADOA.AX	RADOA
RAG.AX	Ragnar Metals Limited
RAN.AX	Range International Limited
RAS.AX	Ragusa Minerals Ltd
RAU.AX	Republic Gold Ltd
RB6.AX	Rubix Resources Limited
RB6O.AX	Rubix Resources Limited
RBD.AX	Restaurant Brands New Zealand Limited
RBR.AX	Rubicon Resources Ltd
RBTZ.AX	Betashares Global Robotics And Artificial Intellig
RBX.AX	Resources Base Ltd
RC1.AX	Redcastle Resources Limited
RC1O.AX	RC1O
RCAP.AX	RCAP
RCB.AX	Russell Australian Select Corporate Bond Etf
RCE.AX	Recce Limited
RCL.AX	Repco Corporation Ltd
RCR.AX	RCR Tomlinson Ltd
RCT.AX	Reef Casino Trust
RDG.AX	Resource Development Group Limited
RDM.AX	Red Metal Ltd
RDN.AX	Raiden Resources Limited
RDNOA.AX	RDNOA
RDS.AX	Redstone Resources Ltd
RDV.AX	Russell High Dividend Australian Shares
RDX.AX	Redox Limited
RDY.AX	Readytech Holdings Limited
REA.AX	realestate.com.au Ltd
REAKOF.AX	Rea Group Ltd
REAKOP.AX	Rea Group Ltd
REC.AX	Recall Holdings Limited
RED.AX	Red 5 Ltd
REDKOA.AX	REDKOA
REDKOB.AX	REDKOB
REE.AX	Rarex Limited
REEO.AX	REEO
REG.AX	RG Capital Radio
REGKOA.AX	Regis Healthcare Limited
REGKOB.AX	Regis Healthcare Limited
REH.AX	Reece Australia Ltd
REHKOA.AX	REHKOA
REHKOB.AX	REHKOB
REHKOC.AX	REHKOC
REHKOR.AX	REHKOR
REIT.AX	REIT
REM.AX	Reliance Mining Ltd
REMO.AX	REMO
REP.AX	Ram Essential Services Property Fund
REX.AX	Regional Express Holdings Ltd
REY.AX	Rey Resources Ltd
REZ.AX	Resources & Energy Group Limited
RF1.AX	Regal Investment Fund
RFA.AX	Rare Foods Australia Limited
RFF.AX	Rural Funds Group
RFG.AX	Retail Food Group Ltd
RFT.AX	Rectifier Technologies Ltd
RFX.AX	Redflow Limited
RG8.AX	Regal Asian Investments Limited
RGB.AX	Russell Australian Government Bond
RGL.AX	Ruralco Holdings Ltd
RGN.AX	Region Group
RGNKOA.AX	RGNKOA
RGNKOB.AX	RGNKOB
RGNKOC.AX	RGNKOC
RGNKOP.AX	RGNKOP
RGNKOR.AX	RGNKOR
RGNKOS.AX	RGNKOS
RGT.AX	Argent Biopharma Limited
RHC.AX	Ramsay Health Care Ltd
RHCKOB.AX	Ramsay Health Care Limited
RHCKOQ.AX	Ramsay Health Care Limited
RHCKOR.AX	Ramsay Health Care Limited
RHCPA.AX	Ramsay Health Care Ltd
RHI.AX	Red Hill Iron Ltd
RHK.AX	Red Hawk Mining Limited
RHT.AX	Resonance Health Ltd
RHY.AX	Rhythm Biosciences Limited
RHYO.AX	RHYO
RIC.AX	Ridley Corporation Ltd
RIE.AX	Riedel Resources Limited
RIL.AX	Redivium Limited
RIM.AX	Rimfire Pacific Mining NL
RINC.AX	RINC
RIO.AX	Rio Tinto Ltd
RIOKOA.AX	Rio Tinto Limited
RIOKOB.AX	Rio Tinto Limited
RIOKOE.AX	Rio Tinto Limited
RIOKOH.AX	Rio Tinto Limited
RIOKOI.AX	Rio Tinto Limited
RIOKOQ.AX	Rio Tinto Limited
RIOKOR.AX	Rio Tinto Limited
RIOKOS.AX	Rio Tinto Limited
RIOKOT.AX	Rio Tinto Limited
RIOKOU.AX	Rio Tinto Limited
RIOKOV.AX	Rio Tinto Limited
RIOKOW.AX	Rio Tinto Limited
RIOKOX.AX	Rio Tinto Limited
RIOKOY.AX	Rio Tinto Limited
RIOMOB.AX	Rio Tinto Limited
RKN.AX	Reckon Ltd
RKT.AX	Rocketdna Ltd.
RLC.AX	Revere Mining
RLF.AX	Rlf Agtech Ltd
RLG.AX	Rcl Group
RLGO.AX	Roolife Group Ltd
RLT.AX	Renergen Limited
RMC.AX	RIMCapital Ltd
RMD.AX	ResMed Inc (USA CUFS)
RMDKOE.AX	Resmed Inc
RMI.AX	Resource Mining Corporation Ltd
RML.AX	Rusina Mining NL
RMS.AX	Ramelius Resources Ltd
RMX.AX	Red Mountain Mining Limited
RMXO.AX	Red Mountain Mining Limited
RMXOK.AX	RMXOK
RMY.AX	Rma Global Limited
RND.AX	Rand Mining NL
RNE.AX	Renu Energy Limited
RNT.AX	Rent.com.au Limited
RNTO.AX	RNTO
RNU.AX	Renaissance Uranium Limited
RNX.AX	Renegade Exploration Limited
ROBO.AX	Etfs Robo Global Robotics & Automation
ROC.AX	Roc Oil Company Ltd
ROG.AX	Red Sky Energy Ltd
RON.AX	Ronin Resources Ltd
ROYL.AX	ROYL
RPG.AX	Raptis Group Ltd
RPL.AX	Regal Partners Limited
RPM.AX	Roma Petroleum NL
RPMO.AX	Rpm Automotive Group Limited
RR1.AX	Reach Resources Limited
RR1OA.AX	RR1OA
RRL.AX	Regis Resources NL
RRLKOA.AX	Regis Resources Limited
RRLKOC.AX	Regis Resources Limited
RRLKOD.AX	Regis Resources Limited
RRLKOE.AX	Regis Resources Limited
RRLKOP.AX	Regis Resources Limited
RRLKOR.AX	Regis Resources Limited
RRR.AX	Revolver Resources Holdings Ltd
RSG.AX	Resolute Mining Ltd
RSH.AX	Respiri Limited
RSHO.AX	RSHO
RSM.AX	Russell Australian Semi-government Bond
RTG.AX	Rtg Mining Inc.
RTH.AX	Ras Technology Holdings Limited
RTR.AX	Rumble Resources Limited
RUL.AX	Runge Ltd
RVT.AX	Richmond Vanadium Technology Limited
RWC.AX	Reliance Worldwide Corporation Limited
RWCKOA.AX	Reliance Worldwide Corporation Limited
RWCKOB.AX	Reliance Worldwide Corporation Limited
RWCKOP.AX	RWCKOP
RWCKOQ.AX	Reliance Worldwide Corporation Limited
RWCKOR.AX	RWCKOR
RWD.AX	Reward Minerals Ltd
RWDO.AX	Reward Minerals Ltd
RWL.AX	Rubicon Water Limited
RXH.AX	Rewardle Holdings Limited
RXL.AX	Rox Resources Ltd
RXM.AX	Rex Minerals Ltd
RYD.AX	Ryder Capital Limited
RZI.AX	Raiz Invest Limited
S2R.AX	S2 Resources Ltd
S32.AX	South32 Limited
S32KOA.AX	South32 Limited
S32KOB.AX	South32 Limited
S32KOF.AX	South32 Limited
S32KOG.AX	South32 Limited
S32KOP.AX	South32 Limited
S32KOQ.AX	South32 Limited
S32KOR.AX	South32 Limited
S32KOT.AX	South32 Limited
S32KOV.AX	South32 Limited
S3GO.AX	S3GO
S66.AX	Star Combo Pharma Limited
SAN.AX	Sagalio Energy Limited
SB2.AX	Salter Brothers Emerging Companies Limited
SBM.AX	St Barbara Mines Ltd
SBR.AX	Sabre Resources Ltd
SBW.AX	Shekel Brainweigh Ltd
SCG.AX	Scentre Group
SCGKOA.AX	Scentre Group
SCGKOE.AX	SCGKOE
SCGKOP.AX	Scentre Group
SCGKOQ.AX	Scentre Group
SCL.AX	Schrole Group Ltd
SCN.AX	Scorpion Minerals Limited
SCNO.AX	SCNO
SDF.AX	Steadfast Group Limited
SDI.AX	SDI Ltd
SDR.AX	Sundowner Group
SDV.AX	Scidev Ltd
SEC.AX	Spheria Emerging Companies Limited
SEG.AX	Segue Resources Ltd
SEK.AX	Seek Ltd
SEKKOB.AX	Seek Limited
SEKKOC.AX	Seek Limited
SEKKOD.AX	Seek Limited
SEKKOP.AX	Seek Limited
SEKKOR.AX	Seek Limited
SEN.AX	Senetas Corporation Ltd
SEQ.AX	Southern Equity Holdings
SER.AX	Strategic Energy Resources Ltd
SES.AX	Solar Energy Systems
SFC.AX	Schaffer Corporation Ltd
SFG.AX	St Francis Group Ltd
SFM.AX	Santa Fe Minerals Ltd
SFR.AX	Sandfire Resources NL
SFRKOA.AX	Sandfire Resources Nl
SFRKOB.AX	Sandfire Resources Nl
SFRKOC.AX	Sandfire Resources Nl
SFRKOE.AX	Sandfire Resources Nl
SFRKOF.AX	Sandfire Resources Nl
SFRKOG.AX	Sandfire Resources Nl
SFRKOR.AX	Sandfire Resources Nl
SFRKOV.AX	Sandfire Resources Nl
SFX.AX	Sheffield Resources Limited
SFY.AX	Spdr S&p/asx 50
SGA.AX	Sarytogan Graphite Limited
SGAO.AX	Sarytogan Graphite Limited
SGF.AX	Sg Fleet Group Limited
SGI.AX	Signature Capital Investments Limited
SGLLV.AX	Ricegrowers Limited
SGM.AX	Sims Group Ltd
SGMKOA.AX	Sims Metal Management Limited
SGMKOB.AX	Sims Metal Management Limited
SGMKOD.AX	Sims Metal Management Limited
SGMKOP.AX	Sims Metal Management Limited
SGMKOQ.AX	Sims Metal Management Limited
SGMKOS.AX	Sims Metal Management Limited
SGMKOT.AX	Sims Metal Management Limited
SGP.AX	Stockland
SGPKOA.AX	Stockland
SGPKOB.AX	Stockland
SGPKOC.AX	Stockland
SGPKOQ.AX	Stockland
SGPKOR.AX	Stockland
SGPKOS.AX	Stockland
SGQ.AX	St George Mining Limited
SGQO.AX	St George Mining Limited
SGR.AX	The Star Entertainment Group Limited
SGRKOB.AX	The Star Entertainment Group Limited
SGRKOC.AX	The Star Entertainment Group Limited
SGRKOQ.AX	The Star Entertainment Group Limited
SGRKOR.AX	The Star Entertainment Group Limited
SHA.AX	Shannon Resources Ltd
SHE.AX	Stonehenge Metals Ltd
SHG.AX	Sunshine Gas Ltd
SHJ.AX	Shine Corporate Ltd
SHL.AX	Sonic Healthcare Ltd
SHLKOB.AX	Sonic Healthcare Limited
SHLKOP.AX	Sonic Healthcare Limited
SHLKOQ.AX	Sonic Healthcare Limited
SHM.AX	Shriro Holdings Limited
SHN.AX	Sherlock Bay Nickel Corporation Ltd
SHO.AX	Sportshero Limited
SHP.AX	Shoply Limited
SHV.AX	Select Harvests Ltd
SI6.AX	Six Sigma Metals Limited
SI6OF.AX	SI6OF
SIG.AX	Sigma Company Ltd
SIGKOB.AX	Sigma Healthcare Limited
SIO.AX	Simonds Group Limited
SIQ.AX	Smartgroup Corporation Ltd
SIQKOB.AX	Smartgroup Corporation Ltd
SIQKOC.AX	Smartgroup Corporation Ltd
SIS.AX	Simble Solutions Limited
SIT.AX	SIT
SIV.AX	Silver Chef Ltd
SIX.AX	Sprintex Limited
SKC.AX	Sky City Entertainment Group Ltd
SKN.AX	Skansen Holdings
SKNOD.AX	SKNOD
SKO.AX	Serko Limited
SKS.AX	Stokes (Australasia) Ltd
SKT.AX	Sky Network Television Ltd
SKUK.AX	SKUK
SKY.AX	Skydome Holdings Ltd
SLB.AX	Stelar Metals Limited
SLC.AX	Softlaw Corporation Ltd
SLF.AX	Spdr??s&p?/asx 200 Listed Property Fund
SLH.AX	Silk Logistics Holdings Limited
SLM.AX	Salmat Ltd
SLS.AX	Solstice Minerals Limited
SLSO.AX	SLSO
SLX.AX	Silex Systems Ltd
SLZ.AX	Sultan Resources Ltd
SLZO.AX	SLZO
SM1.AX	Synlait Milk Limited
SMI.AX	Santana Minerals Limited
SMLL.AX	Betashares Australian Small Companies Select
SMM.AX	Summit Resources Ltd
SMMO.AX	SMMO
SMN.AX	Structural Monitoring Systems Plc
SMP.AX	Smartpay Holdings Limited
SMR.AX	Stanmore Coal Limited
SMS.AX	Sims Group Ltd
SMSO.AX	SMSO
SMX.AX	SMS Management & Technology Ltd
SMXO.AX	SMXO
SNC.AX	Sandon Capital Investments Limited
SNCHA.AX	SNCHA
SND.AX	Saunders International Ltd
SNG.AX	Siren Gold Limited
SNL.AX	Supply Network Ltd
SNS.AX	Sensen Networks Limited
SNT.AX	Sky Network Television Ltd
SNX.AX	Securenet
SNZ.AX	Summerset Group Holdings Limited
SOC.AX	Sovereign Gold Company Limited
SOL.AX	Washington H Soul Pattison & Co Ltd
SOLKOA.AX	Washington H Soul Pattinson & Company Limited
SOLKOB.AX	Washington H Soul Pattinson & Company Limited
SOM.AX	SomnoMed Ltd
SOP.AX	Sml Corporation Limited
SOR.AX	Strategic Elements Limited
SOV.AX	Sovereign Cloud Holdings Limited
SP3.AX	Spectur Limited
SP8.AX	Streamplay Studio Limited
SPA.AX	Spencer Resources Limited
SPAO.AX	SPAO
SPD.AX	Strategic Pooled Development Ltd
SPFKOE.AX	S&p 500 Emini Futures
SPFKOG.AX	S&p 500 Emini Futures
SPFKOH.AX	S&p 500 Emini Futures
SPFKOL.AX	SPFKOL
SPFKON.AX	SPFKON
SPFKOO.AX	SPFKOO
SPFKOR.AX	S&p 500 Emini Futures
